"mes,""cdi_medio_aa"",""cdi_acumulado_mes"",""ipca_mes"",""ipca_12m"",""indice_precos"",""dolar_medio"",""dolar_fechamento"",""dolar_variacao_mes"",""ibov_medio"",""ibov_fechamento"",""ibov_retorno_mes"""
2021-08-01,5.15,0.319351486102359,0.87,NA,100.87,5.267475,5.1433,NA,119470.125,118781,NA
2021-09-01,5.43571428571429,0.441991275999798,1.16,NA,102.040092,5.27969047619048,5.4394,5.75700425796668,113872.952380952,110979,-6.568390567515
2021-10-01,6.3,0.485988267339343,1.25,NA,103.31559315,5.53998,5.643,3.7430598963121,110091,103501,-6.73821173375143
2021-11-01,7.65,0.586754683888313,0.95,NA,104.297091284925,5.55686,5.6199,-0.409356725146193,104290,101915,-1.53235234442179
2021-12-01,8.75869565217391,0.76908903028301,0.73,NA,105.058460051305,5.65139130434783,5.5805,-0.70108009039308,105894.19047619,104822,2.85237698081735
2022-01-01,9.15,0.732275595391618,0.54,NA,105.625775735582,5.53410476190476,5.3574,-3.99784965504882,106724.380952381,112388,7.21795043025319
2022-02-01,10.4921052631579,0.755033637046032,1.01,NA,106.692596070511,5.19657894736842,5.1394,-4.06913801470863,112851.263157895,113142,0.670890130618917
2022-03-01,11.15,0.927051462307849,1.62,NA,108.421016126854,4.96838181818182,4.7378,-7.81414172860646,115150.045454545,119999,6.06052571105338
2022-04-01,11.65,0.834325163831773,1.06,NA,109.570278897798,4.75801578947368,4.9191,3.82667060661066,115022.052631579,107876,-10.1025841882016
2022-05-01,12.5136363636364,1.03459727750219,0.47,NA,110.085259208618,4.95505,4.7289,-3.86656095627249,107809.227272727,111351,3.2212911120175
2022-06-01,12.8880952380952,1.015323012814,0.67,NA,110.822830445316,5.04920952380952,5.238,10.7657171858149,103746.571428571,98542,-11.503264452048
2022-07-01,13.15,1.03485282884703,-0.68,NA,110.069235198288,5.36807142857143,5.1884,-0.946926307751061,99108.5714285714,103165,4.69140062105498
2022-08-01,13.5847826086957,1.1693635216985,-0.36,8.72706052500616,109.672985951574,5.14328695652174,5.179,-0.181173386785893,110061.826086957,109523,6.16294285852761
2022-09-01,13.65,1.07198303920537,-0.29,7.16859633203206,109.354934292314,5.23695714285714,5.4066,4.394670785866,110720.904761905,110037,0.469307816622999
2022-10-01,13.65,1.02067662025629,0.59,6.4700158522381,110.000128404639,5.2503,5.257,-2.76698849554249,115599.95,116037,5.45271136072412
